,ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0,vwap
0,2022-04-25 01:30:00,4.98,1600.0,235900.0,46800.0,4.98,4.98
1,2022-04-25 01:40:00,4.97,32500.0,93000.0,55800.0,4.98,4.970469208211144
2,2022-04-25 01:50:00,4.97,2400.0,2100.0,23500.0,4.98,4.970438356164384
3,2022-04-25 02:00:00,4.96,100.0,24700.0,24828.0,4.97,4.970409836065574
4,2022-04-25 02:10:00,4.97,2900.0,76400.0,7300.0,4.97,4.970379746835443
5,2022-04-25 02:20:00,4.94,6700.0,113500.0,12700.0,4.95,4.965974025974026
6,2022-04-25 02:30:00,5.01,300.0,139900.0,600.0,5.01,4.966258064516129
7,2022-04-25 02:40:00,4.96,100.0,54000.0,141300.0,4.97,4.966244635193133
8,2022-04-25 02:50:00,4.93,400.0,135838.0,344200.0,4.93,4.965936170212766
9,2022-04-25 03:00:00,4.96,100.0,24900.0,8700.0,4.97,4.965923566878981
10,2022-04-25 03:10:00,4.94,100.0,118500.0,88400.0,4.95,4.965868644067797
11,2022-04-25 03:20:00,4.93,100.0,35800.0,2558.0,4.94,4.965792811839323
12,2022-04-25 03:30:00,4.93,100.0,35300.0,2558.0,4.94,4.965717299578059
21,2022-04-25 05:00:00,4.92,344.0,45100.0,90256.0,4.93,4.965387902144772
22,2022-04-25 05:10:00,4.91,10000.0,22400.0,851800.0,4.91,4.955795926849542
23,2022-04-25 05:20:00,4.91,800.0,7900.0,862900.0,4.91,4.955170128450396
24,2022-04-25 05:30:00,4.87,300.0,196300.0,4700.0,4.88,4.954735911902658
25,2022-04-25 05:40:00,4.89,800.0,116900.0,15750.0,4.89,4.953867614512776
26,2022-04-25 05:50:00,4.83,200.0,61300.0,202500.0,4.84,4.953453646146648
27,2022-04-25 06:00:00,4.82,400.0,7500.0,410337.0,4.83,4.952567558595047
28,2022-04-25 06:10:00,4.81,100.0,202600.0,189200.0,4.82,4.95233130054355
29,2022-04-25 06:20:00,4.81,2200.0,81600.0,75000.0,4.82,4.9473247633665896
30,2022-04-25 06:30:00,4.79,1300.0,373900.0,83879.0,4.79,4.944121295658166
31,2022-04-25 06:40:00,4.77,985.0,165883.0,199315.0,4.78,4.941475728454858
32,2022-04-25 06:50:00,4.77,1000.0,105795.0,101300.0,4.77,4.938870862385879
