,ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0,vwap
0,2022-03-15 01:30:00,5.51,3400.0,12700.0,34800.0,5.51,5.51
1,2022-03-15 01:40:00,5.35,500.0,28200.0,65100.0,5.35,5.489487179487179
2,2022-03-15 01:50:00,5.33,1700.0,20400.0,15900.0,5.34,5.441071428571429
3,2022-03-15 02:00:00,5.42,2600.0,31000.0,42600.0,5.43,5.434390243902439
4,2022-03-15 02:10:00,5.43,1000.0,19200.0,100.0,5.44,5.4339130434782605
5,2022-03-15 02:20:00,5.4,300.0,27700.0,26400.0,5.4,5.432842105263158
6,2022-03-15 02:30:00,5.5,600.0,7400.0,211200.0,5.5,5.436831683168317
7,2022-03-15 02:40:00,5.45,200.0,94000.0,400.0,5.46,5.4370873786407765
8,2022-03-15 02:50:00,5.41,1000.0,14700.0,44700.0,5.42,5.434690265486726
9,2022-03-15 03:00:00,5.4,300.0,13600.0,10400.0,5.4,5.433793103448276
10,2022-03-15 03:10:00,5.4,200.0,12400.0,3200.0,5.41,5.433220338983051
11,2022-03-15 03:20:00,5.38,200.0,105048.0,2300.0,5.39,5.432333333333333
21,2022-03-15 05:00:00,5.37,1300.0,73900.0,1100.0,5.38,5.42624060150376
22,2022-03-15 05:10:00,5.38,100.0,9248.0,92000.0,5.39,5.42589552238806
23,2022-03-15 05:20:00,5.35,200.0,42600.0,114400.0,5.35,5.424779411764706
24,2022-03-15 05:30:00,5.39,300.0,35300.0,91400.0,5.39,5.4240287769784175
25,2022-03-15 05:40:00,5.35,100.0,42200.0,18100.0,5.36,5.4235
26,2022-03-15 05:50:00,5.31,100.0,1500.0,222300.0,5.32,5.422695035460993
27,2022-03-15 06:00:00,5.35,200.0,28200.0,87800.0,5.35,5.421678321678321
28,2022-03-15 06:10:00,5.35,400.0,500.0,36300.0,5.35,5.419727891156462
29,2022-03-15 06:20:00,5.29,300.0,47300.0,104400.0,5.3,5.417133333333333
30,2022-03-15 06:30:00,5.27,100.0,9000.0,175200.0,5.27,5.416158940397351
31,2022-03-15 06:40:00,5.21,900.0,56300.0,93700.0,5.22,5.4045625
32,2022-03-15 06:50:00,5.22,700.0,16204.0,42500.0,5.23,5.396826347305389
