ltp
5.04
5.06
5.01
5.01
5.0
4.95
4.96
4.94
5.07
5.01
5.02
5.03
""
""
""
""
""
""
""
""
""
5.11
5.16
5.25
5.21
5.26
5.26
5.22
5.27
5.28
5.33
5.32
5.35
