ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0
2022-04-27 01:30:00,1.9383857142857142,-1649.857142857143,130631.57142857143,172442.57142857142,1.943385714285714
2022-04-27 01:40:00,1.9515613382899626,0.49566294919454773,130563.94052044609,114167.07971912433,1.9572821148285833
2022-04-27 01:50:00,1.9321457165732585,-135.14811849479582,108318.69495596478,217775.74059247397,1.9376220976781426
2022-04-27 02:00:00,1.9380198776758408,-86.0091743119266,122647.62996941897,162622.47706422018,1.9426299694189604
2022-04-27 02:10:00,1.9397872340425533,156.3404255319149,185912.51063829788,133507.10638297873,1.9446468085106383
2022-04-27 02:20:00,1.9228534966819806,-598.8769780500255,80690.12251148545,471842.8024502297,1.9281214905564064
2022-04-27 02:30:00,1.9108656126482213,-193.22134387351778,128221.1462450593,409490.9090909091,1.91697233201581
2022-04-27 02:40:00,1.9103945578231292,-192.24489795918367,116577.75510204081,253468.43537414967,1.9156190476190476
2022-04-27 02:50:00,1.9159603554340394,115.44771018455229,157730.4853041695,255118.18181818182,1.919213943950786
2022-04-27 03:00:00,1.913412844036697,-348.8073394495413,82258.53211009175,275311.2844036697,1.9189633027522937
2022-04-27 03:10:00,1.9046396841066138,-869.7926949654492,186033.26752221124,379834.35340572556,1.9105824284304045
2022-04-27 03:20:00,1.9049705304518665,-92.82907662082515,164408.44793713163,397114.931237721,1.9080058939096267
2022-04-27 03:30:00,,,,,
2022-04-27 03:40:00,,,,,
2022-04-27 03:50:00,,,,,
2022-04-27 04:00:00,,,,,
2022-04-27 04:10:00,,,,,
2022-04-27 04:20:00,,,,,
2022-04-27 04:30:00,,,,,
2022-04-27 04:40:00,,,,,
2022-04-27 04:50:00,,,,,
2022-04-27 05:00:00,1.916360612109115,-57.884231536926144,201356.55355954758,218681.50365934797,1.9208915502328676
2022-04-27 05:10:00,1.934869226488592,222.42626599888703,205905.62270450752,158045.63828603228,1.9392765720645522
2022-04-27 05:20:00,1.9414975845410627,426.69082125603865,308339.25120772945,150465.82125603865,1.9466545893719807
2022-04-27 05:30:00,1.955865561694291,142.5414364640884,197940.60773480663,194739.77900552485,1.9602302025782687
2022-04-27 05:40:00,1.953148148148148,-453.2921810699589,436316.25514403294,221521.19341563786,1.9579423868312755
2022-04-27 05:50:00,1.9620135527589544,343.75605033881897,204895.93417231366,225138.1413359148,1.9680348499515974
2022-04-27 06:00:00,1.9494586894586894,-193.5897435897436,157252.5641025641,168966.8091168091,1.9555840455840454
2022-04-27 06:10:00,1.9508445040214477,-324.12868632707773,125764.87935656836,171861.52815013405,1.9553351206434317
2022-04-27 06:20:00,1.9603809523809523,423.57142857142856,196546.66666666666,431787.5,1.9644761904761905
2022-04-27 06:30:00,1.965737597911227,418.0809399477807,364836.0313315927,325155.8093994778,1.9713903394255876
2022-04-27 06:40:00,1.9751287711552612,208.16777041942606,333487.0493009566,342014.863870493,1.9800000000000002
2022-04-27 06:50:00,1.9784531886024421,226.18724559023067,326020.89552238805,264636.7706919946,1.9840569877883312
