ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0
2022-04-21 01:30:00,4.06,100.0,157400.0,133500.0,4.06
2022-04-21 01:31:00,4.05,8400.0,39100.0,328700.0,4.05
2022-04-21 01:32:00,4.04,-300.0,486300.0,332400.0,4.05
2022-04-21 01:33:00,4.04,-100.0,179500.0,398100.0,4.05
2022-04-21 01:34:00,4.06,1000.0,18000.0,125900.0,4.06
2022-04-21 01:35:00,4.06,-100.0,118600.0,71500.0,4.07
2022-04-21 01:36:00,4.06,-2300.0,219500.0,10100.0,4.07
2022-04-21 01:37:00,4.06,-2500.0,227300.0,31100.0,4.07
2022-04-21 01:38:00,4.05,-600.0,40900.0,329000.0,4.06
2022-04-21 01:39:00,4.05,-3000.0,170200.0,314400.0,4.06
2022-04-21 01:40:00,4.05,-200.0,191800.0,285800.0,4.06
2022-04-21 01:41:00,4.05,-200.0,185500.0,356800.0,4.06
2022-04-21 01:42:00,4.05,-100.0,106300.0,352300.0,4.06
2022-04-21 01:43:00,4.06,-100.0,262100.0,138300.0,4.07
2022-04-21 01:44:00,4.06,-100.0,226600.0,137500.0,4.07
2022-04-21 01:45:00,4.06,-100.0,263200.0,88100.0,4.07
2022-04-21 01:46:00,4.06,-100.0,239300.0,97100.0,4.07
2022-04-21 01:47:00,4.07,-100.0,80800.0,258600.0,4.08
2022-04-21 01:48:00,4.07,-100.0,70300.0,158700.0,4.08
2022-04-21 01:49:00,4.08,-100.0,350600.0,711400.0,4.09
2022-04-21 01:50:00,4.08,-400.0,307600.0,694100.0,4.09
2022-04-21 01:51:00,4.08,-200.0,396200.0,661600.0,4.09
2022-04-21 01:52:00,4.09,200.0,102200.0,396000.0,4.09
2022-04-21 01:53:00,4.08,-200.0,400800.0,357600.0,4.09
2022-04-21 01:54:00,4.07,-200.0,53700.0,145300.0,4.08
2022-04-21 01:55:00,4.07,-2100.0,148900.0,156900.0,4.08
2022-04-21 01:56:00,4.07,-200.0,135200.0,273700.0,4.08
2022-04-21 01:57:00,4.08,100.0,146500.0,269500.0,4.08
2022-04-21 01:58:00,4.07,-200.0,93800.0,247700.0,4.08
2022-04-21 01:59:00,4.08,1800.0,128500.0,196800.0,4.08
2022-04-21 02:00:00,4.08,100.0,172100.0,196800.0,4.08
2022-04-21 02:01:00,4.07,500.0,16600.0,144500.0,4.07
2022-04-21 02:02:00,4.07,100.0,11600.0,144000.0,4.07
2022-04-21 02:03:00,4.07,100.0,10300.0,175100.0,4.07
2022-04-21 02:04:00,4.07,500.0,49600.0,247800.0,4.07
2022-04-21 02:05:00,4.06,-600.0,69600.0,134500.0,4.07
2022-04-21 02:06:00,4.06,-100.0,59800.0,178500.0,4.07
2022-04-21 02:07:00,4.07,1600.0,80600.0,166100.0,4.07
2022-04-21 02:08:00,4.07,100.0,93200.0,141400.0,4.07
2022-04-21 02:09:00,4.07,100.0,96800.0,248700.0,4.07
2022-04-21 02:10:00,4.07,-300.0,139900.0,98800.0,4.08
2022-04-21 02:11:00,4.08,1800.0,195500.0,117200.0,4.08
2022-04-21 02:12:00,4.06,-900.0,88800.0,197000.0,4.07
2022-04-21 02:13:00,4.07,200.0,66100.0,243300.0,4.07
2022-04-21 02:14:00,4.07,11600.0,55900.0,45200.0,4.07
2022-04-21 02:15:00,4.07,100.0,149700.0,53200.0,4.07
2022-04-21 02:16:00,4.07,5200.0,150300.0,54000.0,4.07
2022-04-21 02:17:00,4.07,100.0,125900.0,107000.0,4.07
2022-04-21 02:18:00,4.07,600.0,600.0,114600.0,4.07
2022-04-21 02:19:00,4.08,3400.0,190200.0,66500.0,4.08
2022-04-21 02:20:00,4.07,2200.0,145100.0,60700.0,4.07
2022-04-21 02:21:00,4.07,-100.0,365300.0,5800.0,4.08
2022-04-21 02:22:00,4.08,4400.0,290000.0,18500.0,4.08
2022-04-21 02:23:00,4.07,-2200.0,269500.0,12500.0,4.08
2022-04-21 02:24:00,4.09,2200.0,500000.0,62300.0,4.09
2022-04-21 02:25:00,4.09,1800.0,401600.0,36800.0,4.09
2022-04-21 02:26:00,4.09,1900.0,357500.0,1400.0,4.09
2022-04-21 02:27:00,4.08,200.0,160400.0,196400.0,4.08
2022-04-21 02:28:00,4.08,300.0,57900.0,229700.0,4.08
2022-04-21 02:29:00,4.08,-100.0,329700.0,78100.0,4.09
2022-04-21 02:30:00,4.09,1900.0,368500.0,120400.0,4.09
2022-04-21 02:31:00,4.09,-100.0,424400.0,90200.0,4.1
2022-04-21 02:32:00,4.11,100.0,274700.0,265600.0,4.11
2022-04-21 02:33:00,4.1,-100.0,314112.0,268200.0,4.11
2022-04-21 02:34:00,4.11,300.0,350112.0,76200.0,4.11
2022-04-21 02:35:00,4.11,100.0,348212.0,108700.0,4.11
2022-04-21 02:36:00,4.09,-100.0,216700.0,28000.0,4.1
2022-04-21 02:37:00,4.09,-300.0,269600.0,44000.0,4.1
2022-04-21 02:38:00,4.09,200.0,257700.0,115900.0,4.09
2022-04-21 02:39:00,4.09,100.0,246600.0,104100.0,4.09
2022-04-21 02:40:00,4.09,2000.0,267100.0,62400.0,4.09
2022-04-21 02:41:00,4.08,100.0,55000.0,173500.0,4.08
2022-04-21 02:42:00,4.07,-3800.0,200.0,223800.0,4.08
2022-04-21 02:43:00,4.09,100.0,227000.0,249600.0,4.09
2022-04-21 02:44:00,4.09,200.0,274500.0,297500.0,4.09
2022-04-21 02:45:00,4.08,-100.0,287000.0,291200.0,4.09
2022-04-21 02:46:00,4.08,-100.0,282300.0,900.0,4.09
2022-04-21 02:47:00,4.08,700.0,186400.0,192800.0,4.08
2022-04-21 02:48:00,4.08,2200.0,211600.0,198800.0,4.08
2022-04-21 02:49:00,4.08,2200.0,184000.0,205400.0,4.08
2022-04-21 02:50:00,4.07,-100.0,150500.0,198600.0,4.08
2022-04-21 02:51:00,4.06,-700.0,95800.0,162900.0,4.07
2022-04-21 02:52:00,4.07,600.0,164400.0,205500.0,4.08
2022-04-21 02:53:00,4.07,100.0,700.0,218700.0,4.07
2022-04-21 02:54:00,4.07,-100.0,328500.0,2700.0,4.08
2022-04-21 02:55:00,4.07,100.0,24700.0,249800.0,4.07
2022-04-21 02:56:00,4.07,1500.0,117900.0,220400.0,4.07
2022-04-21 02:57:00,4.07,2200.0,22700.0,257600.0,4.07
2022-04-21 02:58:00,4.07,600.0,16200.0,264800.0,4.07
2022-04-21 02:59:00,4.08,1000.0,306700.0,67600.0,4.08
2022-04-21 03:00:00,4.08,100.0,368500.0,127300.0,4.08
2022-04-21 03:01:00,4.08,1000.0,315900.0,182400.0,4.08
2022-04-21 03:02:00,4.08,9700.0,305700.0,164800.0,4.08
2022-04-21 03:03:00,4.07,-700.0,315800.0,57800.0,4.08
2022-04-21 03:04:00,4.07,-100.0,334200.0,11800.0,4.08
2022-04-21 03:05:00,4.07,-100.0,311700.0,12500.0,4.08
2022-04-21 03:06:00,4.06,-100.0,24400.0,284300.0,4.07
2022-04-21 03:07:00,4.06,-200.0,184700.0,287800.0,4.07
2022-04-21 03:08:00,4.06,-100.0,258400.0,296730.0,4.07
2022-04-21 03:09:00,4.07,100.0,239700.0,261930.0,4.07
2022-04-21 03:10:00,4.06,900.0,9100.0,841500.0,4.06
2022-04-21 03:11:00,4.06,100.0,8900.0,847400.0,4.06
2022-04-21 03:12:00,4.05,-100.0,4400.0,834500.0,4.06
2022-04-21 03:13:00,4.05,-200.0,6300.0,809000.0,4.06
2022-04-21 03:14:00,4.06,100.0,3100.0,912400.0,4.06
2022-04-21 03:15:00,4.05,-800.0,154600.0,925200.0,4.06
2022-04-21 03:16:00,4.06,100.0,197900.0,884800.0,4.06
2022-04-21 03:17:00,4.06,100.0,187600.0,876100.0,4.06
2022-04-21 03:18:00,4.06,100.0,126900.0,873700.0,4.06
2022-04-21 03:19:00,4.05,1000.0,420700.0,658500.0,4.05
2022-04-21 03:20:00,4.04,-100.0,253500.0,653800.0,4.05
2022-04-21 03:21:00,4.05,200.0,278800.0,567400.0,4.05
2022-04-21 03:22:00,4.05,100.0,243300.0,573400.0,4.05
2022-04-21 03:23:00,4.04,-300.0,351900.0,554600.0,4.05
2022-04-21 03:24:00,4.05,200.0,293300.0,548100.0,4.05
2022-04-21 03:25:00,4.04,-100.0,356400.0,349000.0,4.05
2022-04-21 03:26:00,4.04,200.0,262300.0,393400.0,4.04
2022-04-21 03:27:00,4.03,-400.0,348900.0,225600.0,4.04
2022-04-21 03:28:00,4.04,2200.0,339100.0,173400.0,4.04
2022-04-21 03:29:00,4.04,200.0,361300.0,41500.0,4.04
2022-04-21 03:30:00,,,,,
2022-04-21 03:31:00,,,,,
2022-04-21 03:32:00,,,,,
2022-04-21 03:33:00,,,,,
2022-04-21 03:34:00,,,,,
2022-04-21 03:35:00,,,,,
2022-04-21 03:36:00,,,,,
2022-04-21 03:37:00,,,,,
2022-04-21 03:38:00,,,,,
2022-04-21 03:39:00,,,,,
2022-04-21 03:40:00,,,,,
2022-04-21 03:41:00,,,,,
2022-04-21 03:42:00,,,,,
2022-04-21 03:43:00,,,,,
2022-04-21 03:44:00,,,,,
2022-04-21 03:45:00,,,,,
2022-04-21 03:46:00,,,,,
2022-04-21 03:47:00,,,,,
2022-04-21 03:48:00,,,,,
2022-04-21 03:49:00,,,,,
2022-04-21 03:50:00,,,,,
2022-04-21 03:51:00,,,,,
2022-04-21 03:52:00,,,,,
2022-04-21 03:53:00,,,,,
2022-04-21 03:54:00,,,,,
2022-04-21 03:55:00,,,,,
2022-04-21 03:56:00,,,,,
2022-04-21 03:57:00,,,,,
2022-04-21 03:58:00,,,,,
2022-04-21 03:59:00,,,,,
2022-04-21 04:00:00,,,,,
2022-04-21 04:01:00,,,,,
2022-04-21 04:02:00,,,,,
2022-04-21 04:03:00,,,,,
2022-04-21 04:04:00,,,,,
2022-04-21 04:05:00,,,,,
2022-04-21 04:06:00,,,,,
2022-04-21 04:07:00,,,,,
2022-04-21 04:08:00,,,,,
2022-04-21 04:09:00,,,,,
2022-04-21 04:10:00,,,,,
2022-04-21 04:11:00,,,,,
2022-04-21 04:12:00,,,,,
2022-04-21 04:13:00,,,,,
2022-04-21 04:14:00,,,,,
2022-04-21 04:15:00,,,,,
2022-04-21 04:16:00,,,,,
2022-04-21 04:17:00,,,,,
2022-04-21 04:18:00,,,,,
2022-04-21 04:19:00,,,,,
2022-04-21 04:20:00,,,,,
2022-04-21 04:21:00,,,,,
2022-04-21 04:22:00,,,,,
2022-04-21 04:23:00,,,,,
2022-04-21 04:24:00,,,,,
2022-04-21 04:25:00,,,,,
2022-04-21 04:26:00,,,,,
2022-04-21 04:27:00,,,,,
2022-04-21 04:28:00,,,,,
2022-04-21 04:29:00,,,,,
2022-04-21 04:30:00,,,,,
2022-04-21 04:31:00,,,,,
2022-04-21 04:32:00,,,,,
2022-04-21 04:33:00,,,,,
2022-04-21 04:34:00,,,,,
2022-04-21 04:35:00,,,,,
2022-04-21 04:36:00,,,,,
2022-04-21 04:37:00,,,,,
2022-04-21 04:38:00,,,,,
2022-04-21 04:39:00,,,,,
2022-04-21 04:40:00,,,,,
2022-04-21 04:41:00,,,,,
2022-04-21 04:42:00,,,,,
2022-04-21 04:43:00,,,,,
2022-04-21 04:44:00,,,,,
2022-04-21 04:45:00,,,,,
2022-04-21 04:46:00,,,,,
2022-04-21 04:47:00,,,,,
2022-04-21 04:48:00,,,,,
2022-04-21 04:49:00,,,,,
2022-04-21 04:50:00,,,,,
2022-04-21 04:51:00,,,,,
2022-04-21 04:52:00,,,,,
2022-04-21 04:53:00,,,,,
2022-04-21 04:54:00,,,,,
2022-04-21 04:55:00,,,,,
2022-04-21 04:56:00,,,,,
2022-04-21 04:57:00,,,,,
2022-04-21 04:58:00,,,,,
2022-04-21 04:59:00,,,,,
2022-04-21 05:00:00,4.03,-1000.0,383900.0,48800.0,4.04
2022-04-21 05:01:00,4.03,100.0,37500.0,358500.0,4.03
2022-04-21 05:02:00,4.03,300.0,116500.0,436700.0,4.03
2022-04-21 05:03:00,4.02,-100.0,153700.0,6600.0,4.03
2022-04-21 05:04:00,4.03,5600.0,126600.0,40000.0,4.03
2022-04-21 05:05:00,4.06,-200.0,165400.0,62700.0,4.07
2022-04-21 05:06:00,4.08,400.0,154300.0,90900.0,4.08
2022-04-21 05:07:00,4.07,-100.0,145500.0,51500.0,4.08
