ts,ltp
2022-04-27 03:36:00,
2022-04-27 03:37:00,
2022-04-27 03:38:00,
2022-04-27 03:39:00,
2022-04-27 03:40:00,
2022-04-27 03:41:00,
2022-04-27 03:42:00,
2022-04-27 03:43:00,
2022-04-27 03:44:00,
2022-04-27 03:45:00,
2022-04-27 03:46:00,
2022-04-27 03:47:00,
2022-04-27 03:48:00,
2022-04-27 03:49:00,
2022-04-27 03:50:00,
2022-04-27 03:51:00,
2022-04-27 03:52:00,
2022-04-27 03:53:00,
2022-04-27 03:54:00,
2022-04-27 03:55:00,
2022-04-27 03:56:00,
2022-04-27 03:57:00,
2022-04-27 03:58:00,
2022-04-27 03:59:00,
2022-04-27 04:00:00,
2022-04-27 04:01:00,
2022-04-27 04:02:00,
2022-04-27 04:03:00,
2022-04-27 04:04:00,
2022-04-27 04:05:00,
2022-04-27 04:06:00,
2022-04-27 04:07:00,
2022-04-27 04:08:00,
2022-04-27 04:09:00,
2022-04-27 04:10:00,
2022-04-27 04:11:00,
2022-04-27 04:12:00,
2022-04-27 04:13:00,
2022-04-27 04:14:00,
2022-04-27 04:15:00,
2022-04-27 04:16:00,
2022-04-27 04:17:00,
2022-04-27 04:18:00,
2022-04-27 04:19:00,
2022-04-27 04:20:00,
2022-04-27 04:21:00,
2022-04-27 04:22:00,
2022-04-27 04:23:00,
2022-04-27 04:24:00,
2022-04-27 04:25:00,
2022-04-27 04:26:00,
2022-04-27 04:27:00,
2022-04-27 04:28:00,
2022-04-27 04:29:00,
2022-04-27 04:30:00,
2022-04-27 04:31:00,
2022-04-27 04:32:00,
2022-04-27 04:33:00,
2022-04-27 04:34:00,
2022-04-27 04:35:00,
2022-04-27 04:36:00,
2022-04-27 04:37:00,
2022-04-27 04:38:00,
2022-04-27 04:39:00,
2022-04-27 04:40:00,
2022-04-27 04:41:00,
2022-04-27 04:42:00,
2022-04-27 04:43:00,
2022-04-27 04:44:00,
2022-04-27 04:45:00,
2022-04-27 04:46:00,
2022-04-27 04:47:00,
2022-04-27 04:48:00,
2022-04-27 04:49:00,
2022-04-27 04:50:00,
2022-04-27 04:51:00,
2022-04-27 04:52:00,
2022-04-27 04:53:00,
2022-04-27 04:54:00,
2022-04-27 04:55:00,
2022-04-27 04:56:00,
2022-04-27 04:57:00,
2022-04-27 04:58:00,
2022-04-27 04:59:00,
2022-04-27 05:00:00,
2022-04-27 05:01:00,-0.005049038461539368
2022-04-27 05:02:00,0.057872779187819745
2022-04-27 05:03:00,0.05375916525662383
2022-04-27 05:04:00,0.04767094017094031
2022-04-27 05:05:00,-0.006579670329672993
2022-04-27 05:06:00,0.016948948290975707
2022-04-27 05:07:00,0.003980305576179788
2022-04-27 05:08:00,0.04552585753520688
2022-04-27 05:09:00,0.06848828979104127
2022-04-27 05:10:00,-0.0012428629332905672
2022-04-27 05:11:00,0.01461351271239053
2022-04-27 05:12:00,0.014291260382810478
2022-04-27 05:13:00,-0.03636020372321802
2022-04-27 05:14:00,0.030422243216293055
2022-04-27 05:15:00,0.020095513064950055
2022-04-27 05:16:00,0.024067401182390924
2022-04-27 05:17:00,0.00457152061855659
2022-04-27 05:18:00,-0.0017152777777766914
2022-04-27 05:19:00,0.004006349206349569
2022-04-27 05:20:00,0.005547470238097318
2022-04-27 05:21:00,0.029698278575024162
2022-04-27 05:22:00,0.024378243860871507
2022-04-27 05:23:00,0.020448594198596126
2022-04-27 05:24:00,-0.061819676819681035
2022-04-27 05:25:00,-0.01887779484553498
2022-04-27 05:26:00,0.03829559393959592
2022-04-27 05:27:00,0.0285987113923305
2022-04-27 05:28:00,0.02181348344196543
2022-04-27 05:29:00,0.006405915894511338
2022-04-27 05:30:00,0.037615942028985216
2022-04-27 05:31:00,0.03313994910941531
2022-04-27 05:32:00,-0.015931754203545978
2022-04-27 05:33:00,-0.0682742868598929
2022-04-27 05:34:00,-0.0181502201027115
2022-04-27 05:35:00,-0.01052878598247986
2022-04-27 05:36:00,0.0016384853536557387
2022-04-27 05:37:00,-0.007808115996610354
2022-04-27 05:38:00,-0.031624487004103585
2022-04-27 05:39:00,-0.0029292527821951353
2022-04-27 05:40:00,0.02962788875832345
2022-04-27 05:41:00,0.029333003952567438
2022-04-27 05:42:00,0.005416666666668846
2022-04-27 05:43:00,-0.017926634768738126
2022-04-27 05:44:00,0.0019534412955444225
2022-04-27 05:45:00,0.011512189995796618
2022-04-27 05:46:00,-0.0009038697446186461
2022-04-27 05:47:00,0.02418086822357779
2022-04-27 05:48:00,0.007010073906696945
2022-04-27 05:49:00,0.008443411611221308
2022-04-27 05:50:00,-0.005511904761904773
2022-04-27 05:51:00,0.06080530973451381
2022-04-27 05:52:00,0.03605863584371782
2022-04-27 05:53:00,-0.024359743897559127
2022-04-27 05:54:00,-0.021032656965223495
2022-04-27 05:55:00,-0.00526756461594502
2022-04-27 05:56:00,-0.021146837242364214
2022-04-27 05:57:00,-0.009357955865270995
2022-04-27 05:58:00,0.010217479674800245
2022-04-27 05:59:00,0.016693089430892982
2022-04-27 06:00:00,-0.02057686136071979
2022-04-27 06:01:00,-0.015908470773709382
2022-04-27 06:02:00,-0.04145775729646495
2022-04-27 06:03:00,-0.01757738095238004
2022-04-27 06:04:00,-0.00216135778635973
2022-04-27 06:05:00,-0.005015306568703082
2022-04-27 06:06:00,0.005408546523987923
2022-04-27 06:07:00,0.013917638086937245
2022-04-27 06:08:00,-0.01433404406538763
2022-04-27 06:09:00,-0.006437370600414383
2022-04-27 06:10:00,0.038232608695652814
2022-04-27 06:11:00,0.015859566787003843
2022-04-27 06:12:00,0.02919379644169595
2022-04-27 06:13:00,0.028989653531075632
2022-04-27 06:14:00,0.011381983240223548
2022-04-27 06:15:00,0.003793918918919559
2022-04-27 06:16:00,-0.020238067855089525
2022-04-27 06:17:00,0.01621276595744625
2022-04-27 06:18:00,0.0070154738878152045
2022-04-27 06:19:00,-0.007510942760941219
2022-04-27 06:20:00,-0.027638888888889213
2022-04-27 06:21:00,-0.008694743130229554
2022-04-27 06:22:00,-0.00015753938484763808
2022-04-27 06:23:00,0.019720141899885135
2022-04-27 06:24:00,0.0043624101517441005
2022-04-27 06:25:00,-0.018610218450984206
2022-04-27 06:26:00,0.0029027409372233137
2022-04-27 06:27:00,0.006741204531900635
2022-04-27 06:28:00,-0.0021997264021891283
2022-04-27 06:29:00,0.003308207115184203
2022-04-27 06:30:00,-0.02445431717210944
2022-04-27 06:31:00,-0.029898658292889735
