ltp
3.73
3.79
3.76
3.8
3.82
3.76
3.75
3.74
3.71
3.73
3.76
3.77
""
""
""
""
""
""
""
""
""
3.76
3.75
3.75
3.75
3.78
3.79
3.77
3.74
3.73
3.73
3.76
3.76
