,ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0,vwap
0,2022-03-16 01:30:00,4.54,11400.0,56700.0,48100.0,4.55,4.54
1,2022-03-16 01:35:00,4.56,1000.0,25000.0,193700.0,4.56,4.541612903225807
2,2022-03-16 01:40:00,4.51,300.0,88100.0,318900.0,4.52,4.540866141732283
3,2022-03-16 01:45:00,4.55,650.0,12600.0,174600.0,4.55,4.541310861423221
4,2022-03-16 01:50:00,4.56,300.0,268200.0,317300.0,4.56,4.541721611721612
5,2022-03-16 01:55:00,4.55,4350.0,99850.0,162200.0,4.55,4.543722222222223
6,2022-03-16 02:00:00,4.52,500.0,69700.0,237200.0,4.53,4.543081081081081
7,2022-03-16 02:05:00,4.52,1800.0,38400.0,390300.0,4.52,4.54103448275862
8,2022-03-16 02:10:00,4.52,1500.0,2500.0,43400.0,4.52,4.539587155963303
9,2022-03-16 02:15:00,4.49,500.0,83800.0,1200.0,4.5,4.53847533632287
10,2022-03-16 02:20:00,4.5,1000.0,74600.0,12800.0,4.51,4.536824034334764
11,2022-03-16 02:25:00,4.52,5200.0,41900.0,149900.0,4.52,4.5337543859649125
12,2022-03-16 02:30:00,4.57,100.0,88700.0,40900.0,4.57,4.533881118881119
13,2022-03-16 02:35:00,4.55,13000.0,211358.0,125000.0,4.55,4.538918269230769
14,2022-03-16 02:40:00,4.54,400.0,131158.0,105100.0,4.55,4.538928571428571
15,2022-03-16 02:45:00,4.56,700.0,19700.0,294942.0,4.56,4.539274004683841
16,2022-03-16 02:50:00,4.54,1000.0,23500.0,137900.0,4.55,4.5392906178489705
17,2022-03-16 02:55:00,4.55,500.0,121300.0,15100.0,4.55,4.539411764705882
18,2022-03-16 03:00:00,4.53,100.0,150000.0,133411.0,4.54,4.539390519187359
19,2022-03-16 03:05:00,4.52,700.0,103100.0,199700.0,4.53,4.539088888888889
20,2022-03-16 03:10:00,4.53,400.0,132400.0,140700.0,4.53,4.539008810572687
21,2022-03-16 03:15:00,4.55,4700.0,180600.0,90900.0,4.55,4.540039920159681
22,2022-03-16 03:20:00,4.56,400.0,326100.0,221100.0,4.57,4.54019801980198
23,2022-03-16 03:25:00,4.57,6400.0,523500.0,29900.0,4.58,4.543550087873462
42,2022-03-16 05:00:00,4.59,1300.0,49300.0,133800.0,4.59,4.54458762886598
43,2022-03-16 05:05:00,4.6,1700.0,210300.0,91000.0,4.61,4.546160267111853
44,2022-03-16 05:10:00,4.58,1500.0,68700.0,159300.0,4.59,4.546986970684039
45,2022-03-16 05:15:00,4.69,7323.0,325900.0,77777.0,4.7,4.562226183373834
46,2022-03-16 05:20:00,4.7,200.0,186400.0,1042100.0,4.7,4.562625973912917
47,2022-03-16 05:25:00,4.7,500.0,95700.0,315100.0,4.7,4.563615372427005
48,2022-03-16 05:30:00,4.69,1000.0,331000.0,433200.0,4.69,4.565410022293853
49,2022-03-16 05:35:00,4.7,100.0,219000.0,429200.0,4.71,4.565600867801994
50,2022-03-16 05:40:00,4.69,500.0,19000.0,583200.0,4.69,4.5664766343297245
51,2022-03-16 05:45:00,4.71,500.0,793500.0,232100.0,4.72,4.567479971477707
52,2022-03-16 05:50:00,4.69,500.0,116800.0,298800.0,4.7,4.568330533301862
53,2022-03-16 05:55:00,4.69,2800.0,326098.0,566500.0,4.7,4.572883605308528
54,2022-03-16 06:00:00,4.7,3500.0,41700.0,913900.0,4.7,4.578564023339249
55,2022-03-16 06:05:00,4.71,100.0,62900.0,492500.0,4.71,4.578731622100659
56,2022-03-16 06:10:00,4.71,1900.0,1465240.0,423200.0,4.72,4.581836709286256
57,2022-03-16 06:15:00,4.73,5576.0,1172720.0,327060.0,4.73,4.591454498888229
58,2022-03-16 06:20:00,4.7,1700.0,178200.0,465800.0,4.71,4.593560999554789
59,2022-03-16 06:25:00,4.69,1000.0,382500.0,381300.0,4.7,4.594649488143207
60,2022-03-16 06:30:00,4.7,100.0,307000.0,360200.0,4.71,4.594768261197984
61,2022-03-16 06:35:00,4.7,10000.0,630423.0,357100.0,4.71,4.605430146202089
62,2022-03-16 06:40:00,4.7,200.0,175623.0,447400.0,4.7,4.605621391520642
63,2022-03-16 06:45:00,4.69,500.0,755023.0,955500.0,4.7,4.606045835471182
64,2022-03-16 06:50:00,4.7,400.0,764700.0,438000.0,4.7,4.606422409042175
65,2022-03-16 06:55:00,4.7,2000.0,952100.0,534600.0,4.7,4.608260886649181
