ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0
2022-04-22 01:30:00,13.08,-3900.0,4800.0,10900.0,13.1
2022-04-22 01:35:00,13.28,200.0,3700.0,1600.0,13.28
2022-04-22 01:40:00,13.27,-200.0,29100.0,13800.0,13.29
2022-04-22 01:45:00,13.49,100.0,7100.0,19000.0,13.49
2022-04-22 01:50:00,13.62,-300.0,100.0,18100.0,13.63
2022-04-22 01:55:00,13.68,-1000.0,500.0,62400.0,13.7
2022-04-22 02:00:00,13.67,-200.0,400.0,2100.0,13.68
2022-04-22 02:05:00,13.81,-2300.0,4300.0,24900.0,13.82
2022-04-22 02:10:00,13.88,-200.0,7500.0,2400.0,13.89
2022-04-22 02:15:00,13.93,-100.0,14800.0,32100.0,13.94
2022-04-22 02:20:00,13.9,200.0,3400.0,27400.0,13.9
2022-04-22 02:25:00,13.88,-200.0,18200.0,5000.0,13.9
2022-04-22 02:30:00,13.99,600.0,40900.0,12900.0,13.99
2022-04-22 02:35:00,14.1,-1000.0,18600.0,95700.0,14.11
2022-04-22 02:40:00,14.05,3600.0,13900.0,2800.0,14.05
2022-04-22 02:45:00,14.07,-1100.0,20500.0,1500.0,14.08
2022-04-22 02:50:00,13.93,700.0,31400.0,14500.0,13.93
2022-04-22 02:55:00,13.85,600.0,300.0,11200.0,13.85
2022-04-22 03:00:00,13.82,-600.0,10700.0,78000.0,13.83
2022-04-22 03:05:00,13.86,400.0,1900.0,22000.0,13.86
2022-04-22 03:10:00,13.93,-100.0,17600.0,87700.0,13.94
2022-04-22 03:15:00,14.08,1100.0,38300.0,18100.0,14.08
2022-04-22 03:20:00,14.05,200.0,32700.0,7400.0,14.05
2022-04-22 03:25:00,13.98,-100.0,12800.0,24100.0,13.99
2022-04-22 03:30:00,,,,,
2022-04-22 03:35:00,,,,,
2022-04-22 03:40:00,,,,,
2022-04-22 03:45:00,,,,,
2022-04-22 03:50:00,,,,,
2022-04-22 03:55:00,,,,,
2022-04-22 04:00:00,,,,,
2022-04-22 04:05:00,,,,,
2022-04-22 04:10:00,,,,,
2022-04-22 04:15:00,,,,,
2022-04-22 04:20:00,,,,,
2022-04-22 04:25:00,,,,,
2022-04-22 04:30:00,,,,,
2022-04-22 04:35:00,,,,,
2022-04-22 04:40:00,,,,,
2022-04-22 04:45:00,,,,,
2022-04-22 04:50:00,,,,,
2022-04-22 04:55:00,,,,,
2022-04-22 05:00:00,13.96,600.0,900.0,9200.0,13.96
2022-04-22 05:05:00,13.97,-400.0,14300.0,1100.0,13.98
2022-04-22 05:10:00,13.94,-100.0,43500.0,600.0,13.95
2022-04-22 05:15:00,13.87,-300.0,1000.0,28100.0,13.89
2022-04-22 05:20:00,13.89,-100.0,14800.0,8300.0,13.9
2022-04-22 05:25:00,13.83,-2199.0,3100.0,28400.0,13.84
2022-04-22 05:30:00,13.86,100.0,16400.0,3500.0,13.86
2022-04-22 05:35:00,13.9,100.0,800.0,6700.0,13.9
2022-04-22 05:40:00,13.88,-200.0,4900.0,4400.0,13.89
2022-04-22 05:45:00,13.86,-100.0,900.0,3800.0,13.87
2022-04-22 05:50:00,13.82,-100.0,75800.0,2200.0,13.83
2022-04-22 05:55:00,13.81,-500.0,36200.0,19000.0,13.82
2022-04-22 06:00:00,13.77,-300.0,1400.0,16100.0,13.78
2022-04-22 06:05:00,13.74,-200.0,17300.0,8900.0,13.76
2022-04-22 06:10:00,13.73,-100.0,20900.0,14100.0,13.74
2022-04-22 06:15:00,13.74,-100.0,1000.0,13200.0,13.76
2022-04-22 06:20:00,13.7,-2000.0,100.0,142040.0,13.72
2022-04-22 06:25:00,13.71,100.0,18500.0,37100.0,13.71
2022-04-22 06:30:00,13.69,-400.0,4600.0,3300.0,13.7
2022-04-22 06:35:00,13.71,-100.0,7200.0,600.0,13.72
2022-04-22 06:40:00,13.75,800.0,2900.0,28200.0,13.75
2022-04-22 06:45:00,13.71,-200.0,8800.0,5600.0,13.73
2022-04-22 06:50:00,13.74,1000.0,2100.0,11600.0,13.74
2022-04-22 06:55:00,13.77,100.0,13000.0,500.0,13.77
