,ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0,vwap
0,2022-03-07 01:30:00,7.22,100.0,8000.0,8100.0,7.22,7.22
1,2022-03-07 01:40:00,7.21,400.0,20300.0,2400.0,7.22,7.212
2,2022-03-07 01:50:00,7.16,100.0,25900.0,76300.0,7.17,7.203333333333333
3,2022-03-07 02:00:00,7.24,200.0,2400.0,11900.0,7.25,7.2125
4,2022-03-07 02:10:00,7.25,400.0,75000.0,28200.0,7.26,7.225
5,2022-03-07 02:20:00,7.28,1000.0,91800.0,24100.0,7.28,7.25
6,2022-03-07 02:30:00,7.29,400.0,107200.0,55000.0,7.31,7.256153846153846
7,2022-03-07 02:40:00,7.27,300.0,95900.0,51100.0,7.27,7.257586206896551
8,2022-03-07 02:50:00,7.31,100.0,139100.0,18400.0,7.32,7.259333333333333
9,2022-03-07 03:00:00,7.27,400.0,22100.0,45300.0,7.28,7.260588235294118
10,2022-03-07 03:10:00,7.26,4700.0,37600.0,57100.0,7.26,7.2602469135802465
11,2022-03-07 03:20:00,7.23,800.0,66100.0,46700.0,7.24,7.25752808988764
21,2022-03-07 05:00:00,7.17,2300.0,8300.0,43900.0,7.18,7.239553571428571
22,2022-03-07 05:10:00,7.19,200.0,41500.0,75900.0,7.2,7.238684210526316
23,2022-03-07 05:20:00,7.17,5700.0,43700.0,169900.0,7.18,7.21578947368421
24,2022-03-07 05:30:00,7.16,200.0,226800.0,391500.0,7.16,7.21514450867052
25,2022-03-07 05:40:00,7.15,5500.0,39300.0,275800.0,7.15,7.1994298245614035
26,2022-03-07 05:50:00,7.14,1700.0,78800.0,17600.0,7.15,7.195306122448979
27,2022-03-07 06:00:00,7.15,800.0,42500.0,8800.0,7.15,7.193873517786561
28,2022-03-07 06:10:00,7.12,2700.0,42200.0,167800.0,7.14,7.18675
29,2022-03-07 06:20:00,7.13,2500.0,12200.0,101500.0,7.13,7.182098360655738
30,2022-03-07 06:30:00,7.1,1000.0,10800.0,142000.0,7.1,7.179492063492064
31,2022-03-07 06:40:00,7.11,5600.0,48700.0,50400.0,7.12,7.16900269541779
32,2022-03-07 06:50:00,7.11,700.0,100.0,231400.0,7.11,7.167910052910053
