,ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0,vwap
0,2022-03-18 01:30:00,16.31,800.0,16137.0,14600.0,16.31,16.31
1,2022-03-18 01:35:00,16.39,300.0,400.0,24900.0,16.4,16.331818181818182
2,2022-03-18 01:40:00,16.45,300.0,259690.0,95190.0,16.45,16.357142857142858
3,2022-03-18 01:45:00,16.46,2100.0,66800.0,136000.0,16.46,16.418857142857142
4,2022-03-18 01:50:00,16.47,100.0,7200.0,33500.0,16.48,16.420277777777777
5,2022-03-18 01:55:00,16.55,300.0,63230.0,98600.0,16.56,16.430256410256412
6,2022-03-18 02:00:00,16.62,100.0,110600.0,3400.0,16.62,16.435
7,2022-03-18 02:05:00,16.51,400.0,81500.0,1900.0,16.52,16.44181818181818
8,2022-03-18 02:10:00,16.49,600.0,35600.0,21900.0,16.49,16.4476
9,2022-03-18 02:15:00,16.49,100.0,17400.0,42250.0,16.5,16.44843137254902
10,2022-03-18 02:20:00,16.41,1500.0,66200.0,310650.0,16.41,16.43969696969697
11,2022-03-18 02:25:00,16.44,500.0,63900.0,61800.0,16.44,16.439718309859156
12,2022-03-18 02:30:00,16.48,100.0,61600.0,40600.0,16.48,16.440277777777776
13,2022-03-18 02:35:00,16.47,400.0,68100.0,73200.0,16.47,16.44184210526316
14,2022-03-18 02:40:00,16.46,540.0,23300.0,7460.0,16.47,16.44304668304668
15,2022-03-18 02:45:00,16.46,500.0,51800.0,32310.0,16.46,16.444027777777777
16,2022-03-18 02:50:00,16.4,3700.0,77000.0,96200.0,16.4,16.430826580226903
17,2022-03-18 02:55:00,16.41,100.0,5800.0,48600.0,16.42,16.430659163987137
18,2022-03-18 03:00:00,16.44,500.0,152500.0,57600.0,16.44,16.431020092735704
19,2022-03-18 03:05:00,16.41,100.0,37000.0,27300.0,16.42,16.43085889570552
20,2022-03-18 03:10:00,16.39,1000.0,37800.0,23600.0,16.39,16.427948717948716
21,2022-03-18 03:15:00,16.33,3000.0,25600.0,206200.0,16.33,16.41070422535211
22,2022-03-18 03:20:00,16.33,200.0,4300.0,162180.0,16.33,16.409767981438513
23,2022-03-18 03:25:00,16.31,400.0,279600.0,95200.0,16.32,16.40750566893424
42,2022-03-18 05:00:00,16.35,100.0,27100.0,12200.0,16.36,16.407181510710256
43,2022-03-18 05:05:00,16.35,100.0,42900.0,800.0,16.36,16.406860986547084
44,2022-03-18 05:10:00,16.43,500.0,37200.0,11300.0,16.43,16.40749182115594
45,2022-03-18 05:15:00,16.5,2800.0,44374.0,9900.0,16.5,16.419744560075685
46,2022-03-18 05:20:00,16.49,2600.0,177710.0,15900.0,16.49,16.42743892165122
47,2022-03-18 05:25:00,16.48,100.0,121000.0,5300.0,16.48,16.42765939597315
48,2022-03-18 05:30:00,16.48,1600.0,34860.0,7000.0,16.48,16.430951257861633
49,2022-03-18 05:35:00,16.46,1600.0,2800.0,27000.0,16.46,16.432670118343193
50,2022-03-18 05:40:00,16.47,100.0,27460.0,20400.0,16.48,16.432807663964628
51,2022-03-18 05:45:00,16.52,4400.0,4700.0,46500.0,16.52,16.444971464806592
52,2022-03-18 05:50:00,16.58,300.0,548490.0,5400.0,16.59,16.446243718592964
53,2022-03-18 05:55:00,16.6,100.0,1290390.0,50300.0,16.6,16.446725109580463
54,2022-03-18 06:00:00,16.54,300.0,19650.0,64120.0,16.55,16.44759305210918
55,2022-03-18 06:05:00,16.58,300.0,279120.0,30400.0,16.58,16.44881376767056
56,2022-03-18 06:10:00,16.59,2400.0,320700.0,76500.0,16.59,16.45851173440183
57,2022-03-18 06:15:00,16.58,400.0,292600.0,3500.0,16.58,16.459886813808716
58,2022-03-18 06:20:00,16.62,100.0,74100.0,176530.0,16.62,16.46033860045147
59,2022-03-18 06:25:00,16.62,5641.0,175330.0,93359.0,16.63,16.48226235972834
60,2022-03-18 06:30:00,16.58,100.0,60800.0,95900.0,16.59,16.48249969646196
61,2022-03-18 06:35:00,16.56,200.0,68700.0,14500.0,16.57,16.482874265967475
62,2022-03-18 06:40:00,16.6,600.0,282303.0,20130.0,16.61,16.48454824801696
63,2022-03-18 06:45:00,16.62,1100.0,560700.0,49700.0,16.63,16.488006777929947
64,2022-03-18 06:50:00,16.61,1180.0,376790.0,174220.0,16.62,16.491259122026165
65,2022-03-18 06:55:00,16.61,600.0,14620.0,311928.0,16.61,16.492847239250132
