ltp
14.24
13.97
14.18
14.2
14.02
13.99
13.96
13.85
13.78
13.76
13.76
13.72
13.7
13.77
13.64
13.57
13.57
13.56
13.53
13.56
13.43
13.43
13.36
13.45
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
13.43
13.54
13.63
13.6
13.51
13.45
13.5
13.54
13.53
13.58
13.55
13.54
13.46
13.38
13.36
13.3
13.32
13.29
13.24
13.2
13.16
13.11
13.2
13.18
